"make","fuel.type","aspiration","num.of.doors","body.style","drive.wheels","engine.location","engine.type","num.of.cylinders","fuel.system","symboling","normalized.losses","compression.ratio","horsepower","peak.rpm","price"
"mazda","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,104,9,68,5000,5195
"mazda","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,104,9,68,5000,6095
"mazda","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,104,9,68,5000,6795
"mazda","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,113,9,68,5000,6695
"mazda","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,113,9,68,5000,7395
"mazda","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",3,150,9.4,101,6000,10945
"mazda","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",3,150,9.4,101,6000,11845
"mazda","gas","std","two","hatchback","rwd","front","rotor","two","4bbl",3,150,9.4,101,6000,13645
"mazda","gas","std","two","hatchback","rwd","front","rotor","two","mpfi",3,150,9.4,135,6000,15645
"mazda","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,129,8.6,84,4800,8845
"mazda","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,115,8.6,84,4800,8495
"mazda","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,129,8.6,84,4800,10595
"mazda","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,115,8.6,84,4800,10245
"mazda","diesel","std","NA","sedan","fwd","front","ohc","four","idi",0,115,22.7,64,4650,10795
"mazda","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",0,115,8.6,84,4800,11245
"mazda","gas","std","four","sedan","rwd","front","ohc","four","mpfi",0,118,8,120,5000,18280
"mazda","diesel","std","four","sedan","rwd","front","ohc","four","idi",0,115,22,72,4200,18344
"mercedes-benz","diesel","turbo","four","sedan","rwd","front","ohc","five","idi",-1,93,21.5,123,4350,25552
"mercedes-benz","diesel","turbo","four","wagon","rwd","front","ohc","five","idi",-1,93,21.5,123,4350,28248
"mercedes-benz","diesel","turbo","two","hardtop","rwd","front","ohc","five","idi",0,93,21.5,123,4350,28176
"mercedes-benz","diesel","turbo","four","sedan","rwd","front","ohc","five","idi",-1,93,21.5,123,4350,31600
"mercedes-benz","gas","std","four","sedan","rwd","front","ohcv","eight","mpfi",-1,115,8.3,155,4750,34184
"mercedes-benz","gas","std","two","convertible","rwd","front","ohcv","eight","mpfi",3,142,8.3,155,4750,35056
"mercedes-benz","gas","std","four","sedan","rwd","front","ohcv","eight","mpfi",0,115,8,184,4500,40960
"mercedes-benz","gas","std","two","hardtop","rwd","front","ohcv","eight","mpfi",1,115,8,184,4500,45400
"mercury","gas","turbo","two","hatchback","rwd","front","ohc","four","mpfi",1,115,8,175,5000,16503
"mitsubishi","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",2,161,9.4,68,5500,5389
"mitsubishi","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",2,161,9.4,68,5500,6189
"mitsubishi","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",2,161,9.4,68,5500,6669
"mitsubishi","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",1,161,7.6,102,5500,7689
"mitsubishi","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",3,153,7.5,116,5500,9959
"mitsubishi","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",3,153,8.5,88,5000,8499
"mitsubishi","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",3,115,7,145,5000,12629
"mitsubishi","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",3,115,7,145,5000,14869
"mitsubishi","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",3,115,7,145,5000,14489
"mitsubishi","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,125,8.5,88,5000,6989
"mitsubishi","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,125,8.5,88,5000,8189
"mitsubishi","gas","turbo","four","sedan","fwd","front","ohc","four","spdi",1,125,7.5,116,5500,9279
"mitsubishi","gas","std","four","sedan","fwd","front","ohc","four","spdi",-1,137,7.5,116,5500,9279
"nissan","gas","std","two","sedan","fwd","front","ohc","four","2bbl",1,128,9.4,69,5200,5499
"nissan","diesel","std","two","sedan","fwd","front","ohc","four","idi",1,128,21.9,55,4800,7099
"nissan","gas","std","two","sedan","fwd","front","ohc","four","2bbl",1,128,9.4,69,5200,6649
"nissan","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,122,9.4,69,5200,6849
"nissan","gas","std","four","wagon","fwd","front","ohc","four","2bbl",1,103,9.4,69,5200,7349
"nissan","gas","std","two","sedan","fwd","front","ohc","four","2bbl",1,128,9.4,69,5200,7299
"nissan","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,128,9.4,69,5200,7799
"nissan","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,122,9.4,69,5200,7499
"nissan","gas","std","four","wagon","fwd","front","ohc","four","2bbl",1,103,9.4,69,5200,7999
"nissan","gas","std","two","hardtop","fwd","front","ohc","four","2bbl",2,168,9.4,69,5200,8249
"nissan","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",0,106,8.5,97,5200,8949
"nissan","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,106,8.5,97,5200,9549
"nissan","gas","std","four","sedan","fwd","front","ohcv","six","mpfi",0,128,9,152,5200,13499
"nissan","gas","std","four","wagon","fwd","front","ohcv","six","mpfi",0,108,9,152,5200,14399
"nissan","gas","std","four","sedan","fwd","front","ohcv","six","mpfi",0,108,9,152,5200,13499
"nissan","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",3,194,9,160,5200,17199
"nissan","gas","turbo","two","hatchback","rwd","front","ohcv","six","mpfi",3,194,7.8,200,5200,19699
"nissan","gas","std","two","hatchback","rwd","front","ohcv","six","mpfi",1,231,9,160,5200,18399
"peugot","gas","std","four","sedan","rwd","front","l","four","mpfi",0,161,8.4,97,5000,11900
"peugot","diesel","turbo","four","sedan","rwd","front","l","four","idi",0,161,21,95,4150,13200
"peugot","gas","std","four","wagon","rwd","front","l","four","mpfi",0,115,8.4,97,5000,12440
"peugot","diesel","turbo","four","wagon","rwd","front","l","four","idi",0,115,21,95,4150,13860
"peugot","gas","std","four","sedan","rwd","front","l","four","mpfi",0,161,8.4,95,5000,15580
"peugot","diesel","turbo","four","sedan","rwd","front","l","four","idi",0,161,21,95,4150,16900
"peugot","gas","std","four","wagon","rwd","front","l","four","mpfi",0,115,8.4,95,5000,16695
"peugot","diesel","turbo","four","wagon","rwd","front","l","four","idi",0,115,21,95,4150,17075
"peugot","gas","std","four","sedan","rwd","front","l","four","mpfi",0,161,8.4,97,5000,16630
"peugot","diesel","turbo","four","sedan","rwd","front","l","four","idi",0,161,21,95,4150,17950
"peugot","gas","turbo","four","sedan","rwd","front","l","four","mpfi",0,161,7,142,5600,18150
"plymouth","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,119,9.4,68,5500,5572
"plymouth","gas","turbo","two","hatchback","fwd","front","ohc","four","spdi",1,119,7.6,102,5500,7957
"plymouth","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",1,154,9.4,68,5500,6229
"plymouth","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,154,9.4,68,5500,6692
"plymouth","gas","std","four","sedan","fwd","front","ohc","four","2bbl",1,154,9.4,68,5500,7609
"plymouth","gas","std","four","wagon","fwd","front","ohc","four","2bbl",-1,74,8.5,88,5000,8921
"plymouth","gas","turbo","two","hatchback","rwd","front","ohc","four","spdi",3,115,7,145,5000,12764
"porsche","gas","std","two","hatchback","rwd","front","ohc","four","mpfi",3,186,9.5,143,5500,22018
"porsche","gas","std","two","hardtop","rwd","rear","ohcf","six","mpfi",3,115,9.5,207,5900,32528
"porsche","gas","std","two","hardtop","rwd","rear","ohcf","six","mpfi",3,115,9.5,207,5900,34028
"porsche","gas","std","two","convertible","rwd","rear","ohcf","six","mpfi",3,115,9.5,207,5900,37028
"porsche","gas","std","two","hatchback","rwd","front","dohcv","eight","mpfi",1,115,10,288,5750,10295
"renault","gas","std","four","wagon","fwd","front","ohc","four","mpfi",0,115,8.7,95,5200,9295
"renault","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",2,115,8.7,95,5200,9895
"saab","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",3,150,9.31,110,5250,11850
"saab","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,104,9.3,110,5250,12170
"saab","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",3,150,9.3,110,5250,15040
"saab","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,104,9.3,110,5250,15510
"saab","gas","turbo","two","hatchback","fwd","front","dohc","four","mpfi",3,150,9,160,5500,18150
"saab","gas","turbo","four","sedan","fwd","front","dohc","four","mpfi",2,104,9,160,5500,18620
"subaru","gas","std","two","hatchback","fwd","front","ohcf","four","2bbl",2,83,9,69,4900,5118
"subaru","gas","std","two","hatchback","fwd","front","ohcf","four","2bbl",2,83,8.7,73,4400,7053
"subaru","gas","std","two","hatchback","4wd","front","ohcf","four","2bbl",2,83,8.7,73,4400,7603
"subaru","gas","std","four","sedan","fwd","front","ohcf","four","2bbl",0,102,9.5,82,4800,7126
"subaru","gas","std","four","sedan","fwd","front","ohcf","four","2bbl",0,102,9.5,82,4400,7775
"subaru","gas","std","four","sedan","fwd","front","ohcf","four","mpfi",0,102,9,94,5200,9960
"subaru","gas","std","four","sedan","4wd","front","ohcf","four","2bbl",0,102,9,82,4800,9233
"subaru","gas","turbo","four","sedan","4wd","front","ohcf","four","mpfi",0,102,7.7,111,4800,11259
"subaru","gas","std","four","wagon","fwd","front","ohcf","four","2bbl",0,89,9,82,4800,7463
"subaru","gas","std","four","wagon","fwd","front","ohcf","four","mpfi",0,89,9,94,5200,10198
"subaru","gas","std","four","wagon","4wd","front","ohcf","four","2bbl",0,85,9,82,4800,8013
"subaru","gas","turbo","four","wagon","4wd","front","ohcf","four","mpfi",0,85,7.7,111,4800,11694
"toyota","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,87,9,62,4800,5348
"toyota","gas","std","two","hatchback","fwd","front","ohc","four","2bbl",1,87,9,62,4800,6338
"toyota","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",1,74,9,62,4800,6488
"toyota","gas","std","four","wagon","fwd","front","ohc","four","2bbl",0,77,9,62,4800,6918
"toyota","gas","std","four","wagon","4wd","front","ohc","four","2bbl",0,81,9,62,4800,7898
"toyota","gas","std","four","wagon","4wd","front","ohc","four","2bbl",0,91,9,62,4800,8778
"toyota","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,91,9,70,4800,6938
"toyota","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",0,91,9,70,4800,7198
"toyota","diesel","std","four","sedan","fwd","front","ohc","four","idi",0,91,22.5,56,4500,7898
"toyota","diesel","std","four","hatchback","fwd","front","ohc","four","idi",0,91,22.5,56,4500,7788
"toyota","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,91,9,70,4800,7738
"toyota","gas","std","four","hatchback","fwd","front","ohc","four","2bbl",0,91,9,70,4800,8358
"toyota","gas","std","four","sedan","fwd","front","ohc","four","2bbl",0,91,9,70,4800,9258
"toyota","gas","std","two","sedan","rwd","front","ohc","four","2bbl",1,168,9,70,4800,8058
"toyota","gas","std","two","hatchback","rwd","front","ohc","four","2bbl",1,168,9,70,4800,8238
"toyota","gas","std","two","sedan","rwd","front","dohc","four","mpfi",1,168,9.4,112,6600,9298
"toyota","gas","std","two","hatchback","rwd","front","dohc","four","mpfi",1,168,9.4,112,6600,9538
"toyota","gas","std","two","hardtop","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,8449
"toyota","gas","std","two","hardtop","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,9639
"toyota","gas","std","two","hatchback","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,9989
"toyota","gas","std","two","hardtop","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,11199
"toyota","gas","std","two","hatchback","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,11549
"toyota","gas","std","two","convertible","rwd","front","ohc","four","mpfi",2,134,9.3,116,4800,17669
"toyota","gas","std","four","sedan","fwd","front","ohc","four","mpfi",-1,65,8.7,92,4200,8948
"toyota","diesel","turbo","four","sedan","fwd","front","ohc","four","idi",-1,65,22.5,73,4500,10698
"toyota","gas","std","four","hatchback","fwd","front","ohc","four","mpfi",-1,65,8.7,92,4200,9988
"toyota","gas","std","four","sedan","fwd","front","ohc","four","mpfi",-1,65,8.7,92,4200,10898
"toyota","gas","std","four","hatchback","fwd","front","ohc","four","mpfi",-1,65,8.7,92,4200,11248
"toyota","gas","std","two","hatchback","rwd","front","dohc","six","mpfi",3,197,9.3,161,5200,16558
"toyota","gas","std","two","hatchback","rwd","front","dohc","six","mpfi",3,197,9.3,161,5200,15998
"toyota","gas","std","four","sedan","rwd","front","dohc","six","mpfi",-1,90,9.2,156,5200,15690
"toyota","gas","std","four","wagon","rwd","front","dohc","six","mpfi",-1,115,9.2,156,5200,15750
"volkswagen","diesel","std","two","sedan","fwd","front","ohc","four","idi",2,122,23,52,4800,7775
"volkswagen","gas","std","two","sedan","fwd","front","ohc","four","mpfi",2,122,9,85,5250,7975
"volkswagen","diesel","std","four","sedan","fwd","front","ohc","four","idi",2,94,23,52,4800,7995
"volkswagen","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,94,9,85,5250,8195
"volkswagen","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,94,9,85,5250,8495
"volkswagen","diesel","turbo","four","sedan","fwd","front","ohc","four","idi",2,94,23,68,4500,9495
"volkswagen","gas","std","four","sedan","fwd","front","ohc","four","mpfi",2,94,10,100,5500,9995
"volkswagen","gas","std","two","convertible","fwd","front","ohc","four","mpfi",3,115,8.5,90,5500,11595
"volkswagen","gas","std","two","hatchback","fwd","front","ohc","four","mpfi",3,256,8.5,90,5500,9980
"volkswagen","gas","std","four","sedan","fwd","front","ohc","five","mpfi",0,115,8.5,110,5500,13295
"volkswagen","diesel","turbo","four","sedan","fwd","front","ohc","four","idi",0,115,23,68,4500,13845
"volkswagen","gas","std","four","wagon","fwd","front","ohc","four","mpfi",0,115,9,88,5500,12290
"volvo","gas","std","four","sedan","rwd","front","ohc","four","mpfi",-2,103,9.5,114,5400,12940
"volvo","gas","std","four","wagon","rwd","front","ohc","four","mpfi",-1,74,9.5,114,5400,13415
"volvo","gas","std","four","sedan","rwd","front","ohc","four","mpfi",-2,103,9.5,114,5400,15985
"volvo","gas","std","four","wagon","rwd","front","ohc","four","mpfi",-1,74,9.5,114,5400,16515
"volvo","gas","turbo","four","sedan","rwd","front","ohc","four","mpfi",-2,103,7.5,162,5100,18420
"volvo","gas","turbo","four","wagon","rwd","front","ohc","four","mpfi",-1,74,7.5,162,5100,18950
"volvo","gas","std","four","sedan","rwd","front","ohc","four","mpfi",-1,95,9.5,114,5400,16845
"volvo","gas","turbo","four","sedan","rwd","front","ohc","four","mpfi",-1,95,8.7,160,5300,19045
"volvo","gas","std","four","sedan","rwd","front","ohcv","six","mpfi",-1,95,8.8,134,5500,21485
"volvo","diesel","turbo","four","sedan","rwd","front","ohc","six","idi",-1,95,23,106,4800,22470
"volvo","gas","turbo","four","sedan","rwd","front","ohc","four","mpfi",-1,95,9.5,114,5400,22625
